mailingAddr1,bldAssessedVal
921 MAXWELL AVE UNIT 18,37929
915 MAXWELL AVE,30391
3030 DOVER DR,19231
1310 HAWTHORN AVE,26571
3141 6TH ST,42562
2002 COLUMBINE AVE,20059
3100 6TH ST,44027
3167 11TH ST,27128
1685 LOMBARDY DR,31609
1985 KALMIA AVE,32405
3640 19TH ST,38248
228 PARK AVE S STE 90636,77124
2491 LINDEN DR,70470
3000 PEARL ST STE 200,745706
1435 MOSSROCK PL,20425
3675 CATALPA WAY,23872
2434 BLUFF ST,14010
3625 ASPEN CT,64237
1219 6TH ST,36655
302 PEARL ST,60262
3330 13TH ST,17655
655 MARINE ST,26268
3340 13TH ST,31721
8033 SUNSET BLVD #829,57710
601 BASELINE RD,40596
3150 6TH ST,21580
625 IRIS AVE,17186
7219 CRANNELL DR,28895
2437 20TH ST,54773
2925 19TH ST,17982
301 19TH ST,29006
3540 CATALPA WAY,22312
1718 BLUFF ST,47712
2002 GROVE ST,18205
2237 PINE ST,20895
2350 KENWOOD DR,27820
3500 COPPER ST,12227
3132 5TH ST,80746
3159 6TH ST,24612
3535 19TH ST,19008
KRISTA A STROHOFFER,17639
2880 20TH ST,17026
2880 20TH ST,21795
2417 PINE ST,26180
2542 PINE ST,27932
2403 PINE ST,25950
820 HAWTHORN AVE,37659
1440 BELLEVUE DR,42984
3723 WONDERLAND HILL AVE,45420
3723 WONDERLAND HILL AVE,45420
3727 WONDERLAND HILL AVE,52942
3743 WONDERLAND HILL,40596
3747 WONDERLAND HILL AVE,41893
785 NORTHSTAR CT,45523
785 NORTHSTAR CT,45523
690 NORTHSTAR CT,46478
660 NORTHSTAR CT,45993
630 NORTHSTAR CT,36377
590 NORTHSTAR CT,
560 NORTHSTAR CT,44369
530 NORTHSTAR CT,39402
675 NORTHSTAR CT,30853
675 NORTHSTAR CT,30853
685 NORTHSTAR CT,39346
695 NORTHSTAR CT,35486
700 NORTHSTAR CT,40707
3763 WONDERLAND HILL AVE,49941
3922 ORCHARD CT,39338
3920 ORCHARD CT,31840
3918 ORCHARD CT,33559
3916 ORCHARD CT,31386
3906 ORCHARD CT,30351
3919 ORCHARD CT,16716
3937 ORCHARD CT,33034
3937 ORCHARD CT,33034
3939 ORCHARD CT,36282
2200 EDGEWOOD,14806
2911 20TH ST,21420
2025 18TH ST,29349
1734 SPRUCE ST,25655
2401 E RHORER RD,31808
2401 E RHORER RD,31808
410 COLLEGE AVE,25870
DIANA K VERRILLI,49758
11455 REGAL HILL CT,40572
3625 CONIFER CT,19303
901 DELLWOOD AVE,17369
1795 BALSAM AVE,18396
1880 23RD ST,22235
3241 11TH ST,21954
3845 CLOVERLEAF DR,18356
2541 BLUFF ST,27104
1838 MARIPOSA AVE,42188
2355 PANORAMA AVE,34936
OF ELEANORE M LIVING TRUST,16605
1430 MOSS ROCK PL,29516
454 HIGHLAND AVE,94597
869 DEARBORN PL,41432
2895 STANFORD AVE,87281
1078 ROSE HILL DR,24167
430 COLLEGE AVE,53523
511 PLEASANT ST,15299
624 PEARL ST 202,34228
590 NORTHSTAR CT,15872
3040 23RD ST,18141
3105 23RD ST,15403
802 16TH ST,36377
558 MARINE ST,39203
1192 VALLEY LN,20545
3355 4TH ST,58984
1317 7TH ST,22137
921 WALNUT ST STE 200,206960
2239 NICHOLL ST,33973
1345 SPRUCE ST,114521
295 BELLEVUE DR,40294
2000 21ST ST,98210
1130 ALPINE AV,4408
1130 ALPINE AVE,22272
620 IRIS AVE,30646
1527 5TH ST,30885
SHARON F MATUSIK,34928
17190 MT VERNON RD  LOT 73,17504
767 8TH ST,40007
1101 ARAPAHOE AVE,
520 UNIVERSITY AVE,19534
2250 BLUEBELL AVE,4139
2900 OXFORD CT,37470
2490 AGATE RD,35024
512 VALLEY VIEW DR,43255
431 IRIS AVE,17321
2325 BALSAM DR,35931
2550 GLENWOOD DR,32636
440 GRAPE AVE,21452
2295 VASSAR DR,13038
910 16TH ST STE 500,12035
2595 CANYON BLVD #420,168606
2315 KENWOOD DR,30757
2560 DARTMOUTH AVE,20171
320  28TH ST,13962
160 S 31ST ST,14010
2800 DARTMOUTH AVE,21882
2091 S HANNIBAL WAY E,13484
PO BOX 3646,12601
3229 8TH ST,46988
2005 SPRUCE ST,30749
3565 IVY CIR,22503
875 7TH ST,29739
1060 5TH ST,51629
PO BOX 2007,21691
2992 24TH ST,18348
522 PINE ST,3980
2430 GRAPE AVE,20417
2990 DARTMOUTH AVE,18985
3035 17TH ST,15052
2464 20TH ST,24835
3190 18TH ST,18467
3837 ORION CT,36823
CUNNINGHAM,25313
2565 JUNIPER AVE,22646
1820 SPRUCE ST,23411
8080 KINCROSS DR,51740
11155 W 40TH AVE,17266
403 JUNIPER AVE,21810
3131 11TH ST,23108
PO BOX 3156,20019
2525 ARAPAHOE AVE UNIT E4 PMB 265,68138
3237 BROADWAY,22288
2382 VINEYARD PL,26165
1845 FOREST AVE,19932
2134 S WALNUT ST UNIT 19,36743
432 MARINE ST,27677
493 RICHMOND AVE,25918
2300 EMERALD RD,13349
CHAMPLIN-RICE,20919
133 SUNLIGHT DR UNIT B,13349
PO BOX 4248,17560
880 6TH ST,51692
1341 CEDAR AVE,17982
1341 CEDAR AVE,17982
2815 11TH ST,23156
2528 6TH ST,16859
1630 30TH ST #252,16414
3222 8TH ST,33344
711 HAWTHORN AVE,17886
42229 LAMBORN MESA RD,16222
42229 LAMBORN MESA RD,16222
2815 16TH ST,20131
3585 19TH ST,23872
147 LAUREL ST,15013
1435 SUNSET BLVD,28170
875 UNION AV,26753
1340 MARSHALL ST,18706
755 LINCOLN PL,24756
1900 DARTMOUTH AVE,26419
3878 BROADWAY 1,24620
2060 BROADWAY STE 400,
2060 BROADWAY STE 400,
2060 BROADWAY STE 400,
2320 22ND ST,27008
1913 ARAPAHOE AVE,18324
881 GAPTER RD,25575
93 PIXLEY HILL RD,15379
PO BOX 9456,1029906
1942 BROADWAY #314,395589
3786 WONDERLAND HILL AVE,35143
1102 PORTLAND PL,15753
9890 E POWERS AVE,30933
2629 REDWING RD STE 330,20688
2629 REDWING RD STE 330,20688
2236 MAPLETON AVE,42586
14 SHEDD RD,17090
1010 CEDAR AVE,56532
611 MARINE ST,29460
904 14TH ST,22606
3880 COLORADO AVE UNIT A,7618
1426 PEARL STREET SUITE 110,388629
550 13TH ST,19900
1540 HIGH ST,51254
347 HOLLYBERY LN,41957
2555 PINE ST,23052
436 HIGHLAND AVE,50060
1725 SUNSET BLVD,47123
2227 16TH ST,30065
1615 7TH ST,55322
3069 5TH ST,40763
505 UNIVERSITY AVE,20266
2820 7TH ST,15952
849 MELVINA HILL RD,28759
25825 SCIENCE PARK DR SUITE 110,36855
3660 16TH ST,22853
3292 4TH ST,24795
2252 GOSS CIRCLE,13628
4990 OSAGE UNIT C100,284172
2450 BROADWAY,23132
10940 WILSHIRE BLVD STE 2250,483749
10940 WILSHIRE BLVD STE 2250,483749
2703 MIDLANE ST APT 4,34944
701 9TH ST,61189
3051 7TH STREET,12123
1205 MEADOW AVE,116296
