Boolean,Address
 True ,1850 FOLSOM ST UNIT 1009 Boulder CO
 True ,2615 6TH ST Boulder CO
 True ,4141 SAINT CROIX ST Boulder CO
 True ,2900 DARTMOUTH AVE Boulder CO
 True ,3130 ENDICOTT DR Boulder CO
 True ,4894 CURIE COURT Boulder CO
 True ,4916 COUNTRY CLUB WAY Boulder CO
 True ,5991 SOUTH VALE RD Boulder CO
 True ,1553 STANLEY DRIVE Boulder CO
 True ,16152 BEACH BLVD STE 100 Boulder CO
 True ,230 5TH ST Boulder CO
 True ,240 S 38TH ST Boulder CO
 True ,2962 SHADOW CREEK DR UNIT 209 Boulder CO
 True ,324 CONRAD DR Boulder CO
 True ,3480 DARTMOUTH AVE Boulder CO
 True ,4620 GREYLOCK ST Boulder CO
 True ,470 S 39TH ST Boulder CO
 True ,4754 HAMPSHIRE ST Boulder CO
 True ,4794 ESSEX CIR Boulder CO
 True ,695 MANHATTAN DR UNIT 104 Boulder CO
 True ,6968 S BOULDER RD Boulder CO
 True ,7448 CRANNELL DR Boulder CO
 True ,7695 CANTERBURY CT Boulder CO
 True ,825 MOHAWK DR Boulder CO
 True ,P O BOX 3305 Boulder CO
 True ,17902 W 59TH AVE Boulder CO
 True ,4394 GRANDVIEW BLVD Boulder CO
 True ,1042 8TH ST Boulder CO
 True ,1065 MAPLETON AVE Boulder CO
 True ,1140 US 287 #400-290 Boulder CO
 True ,1365 S FOOTHILLS HWY Boulder CO
 True ,14624 FENTON ST Boulder CO
 True ,1521 MAPLETON AV Boulder CO
 True ,2205 WARWICK WAY STE 200 Boulder CO
 True ,2291 ARAPAHOE AVE Boulder CO
 True ,2371 LINDEN DR Boulder CO
 True ,2585 KOHLER DR Boulder CO
 True ,275 BROOKSIDE CT Boulder CO
 True ,2850 JUILLIARD ST Boulder CO
 True ,3040 5TH ST Boulder CO
 True ,3305 4TH ST Boulder CO
 True ,3750 LAKEBRIAR DR Boulder CO
 True ,3785 ORANGE LN Boulder CO
 True ,3940 NEWPORT LN Boulder CO
 True ,4165 N 57TH ST Boulder CO
 True ,4350 SUNSHINE CANYON DR Boulder CO
 True ,441 ORD DR Boulder CO
 True ,510 NORTH STAR CT Boulder CO
 True ,580 PLEASANT ST Boulder CO
 True ,644 LEFTHAND CANYON DR Boulder CO
 True ,8080 KINCROSS DR Boulder CO
 True ,8109 WILLOW BEND CT Boulder CO
 True ,832 ITHACA DR Boulder CO
 True ,905 13TH ST Boulder CO
 True ,BIRKS & KATHY LOU ROWLEN Boulder CO
 True ,PO BOX 19677 Boulder CO
 True ,PO BOX 2245 Boulder CO
 True ,P O BOX 4655 Boulder CO
 True ,PO BOX 7398 Boulder CO
 True ,2318 DENNISON LN Boulder CO
 True ,2510 PINE ST UNIT B Boulder CO
 True ,2810 REGIS DR Boulder CO
 True ,3770 N 26TH ST Boulder CO
 True ,4076 ST LUCIA ST Boulder CO
 True ,4146 LONETREE CT Boulder CO
 True ,4790 HANCOCK DR Boulder CO
 True ,513 PLEASANT ST Boulder CO
 True ,5164 GALLATIN PL Boulder CO
 True ,5513 FRIENDS PL Boulder CO
 True ,5515 STONEWALL PL Boulder CO
 True ,7236 SPRING CT Boulder CO
 True ,SALLY N BATES SHANKMAN Boulder CO
 True ,1179 CRESTMOOR DR Boulder CO
 True ,1441 SNOWMASS CT Boulder CO
 True ,1448 WICKLOW ST Boulder CO
 True ,1481 KILKENNY ST Boulder CO
 True ,1763 CLARK DR Boulder CO
 True ,1820 GORDON DR Boulder CO
 True ,2575 FOREST AVE Boulder CO
 True ,621 DIVIDE VIEW DR Boulder CO
 True ,1075 LINDEN AVE Boulder CO
 True ,212 RIGHT ST UNIT 109 Boulder CO
 True ,2409 N UPTON ST Boulder CO
 True ,2430 GLENWOOD DR Boulder CO
 True ,285 IROQUOIS DR Boulder CO
 True ,3050 BAYLOR DR Boulder CO
 True ,3055 18TH ST Boulder CO
 True ,3790 SMUGGLER PL Boulder CO
 True ,3814 HOGAN CT Boulder CO
 True ,3835 NORTHBROOK DR UNIT 10 Boulder CO
 True ,4610 LUDLOW ST Boulder CO
 True ,5351 MUIRFIELD CT Boulder CO
 True ,717 17TH ST Boulder CO
 True ,COLIN & MICHELLE ANONSEN Boulder CO
 True ,1245 BEREA Boulder CO
 True ,1430 ITHACA DR Boulder CO
 True ,2228 ACKETTS MILL DR Boulder CO
 True ,3222 4TH ST Boulder CO
 True ,3680 CONIFER CT Boulder CO
 True ,4228 AMBER ST Boulder CO
 True ,4399 PARK CT Boulder CO
 True ,4635 GORDON DR Boulder CO
 True ,4642 BURGUNDY LN Boulder CO
 True ,4770 OLD POST CT Boulder CO
 True ,731 IRIS AVE Boulder CO
 True ,949 E 5TH AVE Boulder CO
 True ,NICHOLAS VERNE WANNER Boulder CO
 True ,11133 PINYON DR Boulder CO
 True ,1200 COLLEGE AVE Boulder CO
 True ,1435 LARIMER ST STE 303 Boulder CO
 True ,1487 LODGE CT Boulder CO
 True ,1722 SPRUCE ST Boulder CO
 True ,1938 PEARL ST   STE 200 Boulder CO
 True ,20420 CELTIC ST Boulder CO
 True ,2130 UPLAND AVE Boulder CO
 True ,22 OAKESHOTT AVE Boulder CO
 True ,2450 BROADWAY Boulder CO
 True ,3362 S KIRK CT Boulder CO
 True ,3895 EUREKA DR Boulder CO
 True ,4450 ARAPAHOE AVE STE 100 Boulder CO
 True ,4621 FARMERS RD Boulder CO
 True ,4631 CARTER TR Boulder CO
 True ,4861 CURIE CT Boulder CO
 True ,48 BARLOW PLAIN DR Boulder CO
 True ,4974 DAKOTA BLVD Boulder CO
 True ,5046 W HINSDALE CIRCLE Boulder CO
 True ,5325 GALLATIN PL Boulder CO
 True ,557 S SHERMAN ST APT 1 Boulder CO
 True ,6927 JAY RD Boulder CO
 True ,7204 ISLAND GREEN DR Boulder CO
 True ,8489 DOVE RIDGE WY Boulder CO
 True ,8623 MIDDLE FORK RD Boulder CO
 True ,LAZARINA BRIEGLEB TRUST Boulder CO
 True ,OREN GALCHEN Boulder CO
 True ,PO BOX 40417 Boulder CO
 True ,P O BOX 68 Boulder CO
 True ,1530 KALMIA AV Boulder CO
 True ,1664 EMERSON ST Boulder CO
 True ,2525 ARAPAHOE E4-265 Boulder CO
 True ,3190 EASTWOOD CT Boulder CO
 True ,400 S DIXIE HWY STE 420 Boulder CO
 True ,4813 HOPKINS PL Boulder CO
 True ,632 UNIVERSITY AVE Boulder CO
 True ,4075 57TH ST Boulder CO
 True ,7550 SPRING DR Boulder CO
 True ,1323 BLUEBELL AVE Boulder CO
 True ,1352 TAMARACK AVE Boulder CO
 True ,1415 CONWAY CT Boulder CO
 True ,1749 ALPINE Boulder CO
 True ,1795 ALPINE AVE UNIT 5 Boulder CO
 True ,2140 GODDARD PL Boulder CO
 True ,2400 KALMIA AVE Boulder CO
 True ,2722 WINDING TRAIL PL Boulder CO
 True ,3362 SENTINEL DR Boulder CO
 True ,CINDY MIYAKE Boulder CO
 True ,SCHUSTER Boulder CO
 True ,1125 PORTLAND PL UNIT 3 Boulder CO
 True ,1804 WALLENBERG DR Boulder CO
 True ,2223 NICHOLL ST W Boulder CO
 True ,2673 JUNIPER AVE UNIT 56 Boulder CO
 True ,3612 CIENEGA DR Boulder CO
 True ,3701 ARAPAHOE AVE # 13 Boulder CO
 True ,415 EL PASO BLVD Boulder CO
 True ,4185 PIEDRA CT Boulder CO
 True ,530 MOHAWK DR 74 Boulder CO
 True ,534 HERITAGE DR Boulder CO
 True ,550 MOHAWK DR 51C Boulder CO
 True ,550 MOHAWK DR 56 Boulder CO
 True ,550 MOHAWK DR #57 Boulder CO
 True ,560 MOHAWK DR 32 Boulder CO
 True ,560 MOHAWK DR UNIT 26 Boulder CO
 True ,665 E COOPER AVE Boulder CO
 True ,7376 PARK CIR Boulder CO
 True ,7445 AUGUSTA DR Boulder CO
 True ,PO BOX 1561 Boulder CO
 True ,1422 WESTIN DR Boulder CO
 True ,1485 S COLORADO BLVD STE 300 Boulder CO
 True ,1502 N IVANHOE ST Boulder CO
 True ,1692 MACCULLEN DR Boulder CO
 True ,2259 NICHOLL ST Boulder CO
 True ,2661 SHERWOOD CIR UNIT B1 Boulder CO
 True ,3490 EASTMAN AVE Boulder CO
 True ,360 S 39TH ST Boulder CO
 True ,436 TYNAN CT Boulder CO
 True ,4701 WILLARD AVE #905 C Boulder CO
 True ,590 ORD DR Boulder CO
 True ,6978 CARTER TRL Boulder CO
 True ,7256 PAINT BRUSH TRL Boulder CO
 True ,726 MATHEWS CR Boulder CO
 True ,7835 GREENBRIAR CIR Boulder CO
 True ,841 BRIMBLE CT Boulder CO
 True ,91 AUTUMN CT Boulder CO
 True ,NICHOLAS M SUTCLIFFE REVOC TR 50 PCT Boulder CO
 True ,PO BOX 4156 Boulder CO
 True ,ROSALYNN ZABER BARRETT Boulder CO
 False ,5775 MOREHOUSE DR Boulder CO
 True ,1158 CUCHARA DR Boulder CO
 True ,1233 MCGREGOR CIR Boulder CO
 True ,1386 OAKLEAF CIR Boulder CO
 True ,1548 MEACHUM WAY Boulder CO
 True ,1850 FOLSOM 803 Boulder CO
 True ,1850 FOLSOM ST 910 Boulder CO
 True ,1850 FOLSOM ST APT 604 Boulder CO
 True ,1850 FOLSOM ST UNIT 204 Boulder CO
 True ,1850 FOLSOM ST UNIT 404 Boulder CO
 True ,1850 FOLSOM ST UNIT 702 Boulder CO
 True ,1850 FOLSOM ST UNIT 809 Boulder CO
 True ,1850 FOLSOM UNIT 804 Boulder CO
 True ,1895 ALPINE 36I Boulder CO
 True ,1895 ALPINE AVE UNIT 15D Boulder CO
 True ,1895 ALPINE AVE UNIT 37J Boulder CO
 True ,1895 ALPINE AVE UNIT 38J Boulder CO
 True ,2175 NORWOOD AVE Boulder CO
 True ,2254 SAN ANTONIO AVE 2 Boulder CO
 True ,2329 PINE ST Boulder CO
 True ,25 BAY STATE RD Boulder CO
 True ,2602 BETTS CIR Boulder CO
 True ,3156 GRACEFIELD RD APT 117 Boulder CO
 True ,3232 BILLINGTON DR Boulder CO
 True ,3735 MOORHEAD AVE Boulder CO
 True ,4265 GRAHAM CT Boulder CO
 True ,4435 MARTIN DR Boulder CO
 True ,4475 SANDPIPER CR Boulder CO
 True ,4646 IPSWICH ST Boulder CO
 True ,620 JUNIPER AVE Boulder CO
 True ,620 NORTH ST Boulder CO
 True ,630 COLLEGE AV Boulder CO
 True ,715 GILLASPIE DR Boulder CO
 True ,7963 GRASMERE DR Boulder CO
 True ,964 7TH ST Boulder CO
 True ,BENEFIT OF LEA GORSUCH Boulder CO
 True ,FAMILY TRUST Boulder CO
 True ,OF BOULDER Boulder CO
 True ,PO BOX 5225 Boulder CO
 True ,106 PINEVIEW LN Boulder CO
 True ,1414 HOFFMAN DR Boulder CO
 True ,2965 HUNT CT Boulder CO
 True ,3239 9TH ST Boulder CO
 True ,3635 HAZELWOOD CT Boulder CO
 True ,3834 ABEYTA CT Boulder CO
 True ,5308 PENNSLYVANIA AVE Boulder CO
 True ,7301 PETURSDALE CT Boulder CO
