mailingAddr1,totalActualVal
921 MAXWELL AVE UNIT 18,476500
915 MAXWELL AVE,381800
3030 DOVER DR,400600
1310 HAWTHORN AVE,625800
3141 6TH ST,943700
2002 COLUMBINE AVE,468000
3100 6TH ST,978100
3167 11TH ST,602800
1685 LOMBARDY DR,665100
1985 KALMIA AVE,1011700
3640 19TH ST,1014500
228 PARK AVE S STE 90636,2448900
2491 LINDEN DR,537000
3000 PEARL ST STE 200,6600000
1435 MOSSROCK PL,429600
3675 CATALPA WAY,501900
2434 BLUFF ST,406000
3625 ASPEN CT,1500000
1219 6TH ST,843500
302 PEARL ST,664000
3330 13TH ST,415800
655 MARINE ST,780000
3340 13TH ST,718500
8033 SUNSET BLVD #829,1200000
601 BASELINE RD,1060000
3150 6TH ST,479100
625 IRIS AVE,539900
7219 CRANNELL DR,713000
2437 20TH ST,1164100
2925 19TH ST,422900
301 19TH ST,677400
3540 CATALPA WAY,469300
1718 BLUFF ST,1124400
2002 GROVE ST,420700
2237 PINE ST,444500
2350 KENWOOD DR,618500
3500 COPPER ST,314600
3132 5TH ST,1793400
3159 6TH ST,546200
3535 19TH ST,379800
KRISTA A STROHOFFER,449600
2880 20TH ST,490900
2880 20TH ST,544800
2417 PINE ST,556900
2542 PINE ST,593900
2403 PINE ST,552000
820 HAWTHORN AVE,1183100
1440 BELLEVUE DR,1190000
3723 WONDERLAND HILL AVE,897600
3723 WONDERLAND HILL AVE,897600
3727 WONDERLAND HILL AVE,1005100
3743 WONDERLAND HILL,860000
3747 WONDERLAND HILL AVE,795300
785 NORTHSTAR CT,863900
785 NORTHSTAR CT,863900
690 NORTHSTAR CT,881900
660 NORTHSTAR CT,908800
630 NORTHSTAR CT,740000
590 NORTHSTAR CT,350000
560 NORTHSTAR CT,842400
530 NORTHSTAR CT,779000
675 NORTHSTAR CT,593600
675 NORTHSTAR CT,593600
685 NORTHSTAR CT,757300
695 NORTHSTAR CT,682800
700 NORTHSTAR CT,783400
3763 WONDERLAND HILL AVE,960400
3922 ORCHARD CT,746200
3920 ORCHARD CT,750000
3918 ORCHARD CT,645600
3916 ORCHARD CT,595300
3906 ORCHARD CT,627300
3919 ORCHARD CT,460000
3937 ORCHARD CT,765000
3937 ORCHARD CT,765000
3939 ORCHARD CT,688800
2200 EDGEWOOD,336000
2911 20TH ST,535100
2025 18TH ST,676700
1734 SPRUCE ST,591300
2401 E RHORER RD,742600
2401 E RHORER RD,742600
410 COLLEGE AVE,1425000
DIANA K VERRILLI,1289100
11455 REGAL HILL CT,900700
3625 CONIFER CT,406500
901 DELLWOOD AVE,388200
1795 BALSAM AVE,390100
1880 23RD ST,491340
3241 11TH ST,603800
3845 CLOVERLEAF DR,551600
2541 BLUFF ST,571500
1838 MARIPOSA AVE,930000
2355 PANORAMA AVE,802900
OF ELEANORE M LIVING TRUST,384600
1430 MOSS ROCK PL,620800
454 HIGHLAND AVE,1941400
869 DEARBORN PL,1026500
2895 STANFORD AVE,2063500
1078 ROSE HILL DR,758600
430 COLLEGE AVE,1624400
511 PLEASANT ST,441200
624 PEARL ST 202,430000
590 NORTHSTAR CT,396400
3040 23RD ST,452900
3105 23RD ST,384500
802 16TH ST,767000
558 MARINE ST,1081500
1192 VALLEY LN,527100
3355 4TH ST,1987000
1317 7TH ST,509100
921 WALNUT ST STE 200,3800000
2239 NICHOLL ST,848800
1345 SPRUCE ST,2258700
295 BELLEVUE DR,1223200
2000 21ST ST,1974800
1130 ALPINE AV,1497500
1130 ALPINE AVE,1310800
620 IRIS AVE,759000
1527 5TH ST,788000
SHARON F MATUSIK,776800
17190 MT VERNON RD  LOT 73,436900
767 8TH ST,1102600
1101 ARAPAHOE AVE,875000
520 UNIVERSITY AVE,613400
2250 BLUEBELL AVE,852000
2900 OXFORD CT,824000
2490 AGATE RD,790000
512 VALLEY VIEW DR,1309400
431 IRIS AVE,543600
2325 BALSAM DR,885400
2550 GLENWOOD DR,660000
440 GRAPE AVE,510500
2295 VASSAR DR,363800
910 16TH ST STE 500,517000
2595 CANYON BLVD #420,1766100
2315 KENWOOD DR,683400
2560 DARTMOUTH AVE,420400
320  28TH ST,359400
160 S 31ST ST,391000
2800 DARTMOUTH AVE,455900
2091 S HANNIBAL WAY E,347400
PO BOX 3646,324300
3229 8TH ST,1043300
2005 SPRUCE ST,653300
3565 IVY CIR,473700
875 7TH ST,819600
1060 5TH ST,1567600
PO BOX 2007,272500
2992 24TH ST,416500
522 PINE ST,500000
2430 GRAPE AVE,509500
2990 DARTMOUTH AVE,395500
3035 17TH ST,383100
2464 20TH ST,558000
3190 18TH ST,471000
3837 ORION CT,708600
CUNNINGHAM,563000
2565 JUNIPER AVE,450500
1820 SPRUCE ST,540100
8080 KINCROSS DR,1150000
11155 W 40TH AVE,401900
403 JUNIPER AVE,656000
3131 11TH ST,513300
PO BOX 3156,421500
2525 ARAPAHOE AVE UNIT E4 PMB 265,1456000
3237 BROADWAY,485000
2382 VINEYARD PL,648700
1845 FOREST AVE,507400
2134 S WALNUT ST UNIT 19,461600
432 MARINE ST,347700
493 RICHMOND AVE,575600
2300 EMERALD RD,343700
CHAMPLIN-RICE,439800
133 SUNLIGHT DR UNIT B,307700
PO BOX 4248,551600
880 6TH ST,1424400
1341 CEDAR AVE,517900
1341 CEDAR AVE,517900
2815 11TH ST,779900
2528 6TH ST,491800
1630 30TH ST #252,407200
3222 8TH ST,740900
711 HAWTHORN AVE,561700
42229 LAMBORN MESA RD,404800
42229 LAMBORN MESA RD,404800
2815 16TH ST,579900
3585 19TH ST,476900
147 LAUREL ST,374600
1435 SUNSET BLVD,696900
875 UNION AV,720100
1340 MARSHALL ST,635000
755 LINCOLN PL,613000
1900 DARTMOUTH AVE,624900
3878 BROADWAY 1,309300
2060 BROADWAY STE 400,0
2060 BROADWAY STE 400,0
2060 BROADWAY STE 400,0
2320 22ND ST,622300
1913 ARAPAHOE AVE,421200
881 GAPTER RD,587300
93 PIXLEY HILL RD,353200
PO BOX 9456,13344300
1942 BROADWAY #314,3014100
3786 WONDERLAND HILL AVE,666500
1102 PORTLAND PL,494900
9890 E POWERS AVE,651600
2629 REDWING RD STE 330,529900
2629 REDWING RD STE 330,529900
2236 MAPLETON AVE,982000
14 SHEDD RD,437700
1010 CEDAR AVE,1255200
611 MARINE ST,678100
904 14TH ST,684000
3880 COLORADO AVE UNIT A,191400
1426 PEARL STREET SUITE 110,2547600
550 13TH ST,875000
1540 HIGH ST,1181900
347 HOLLYBERY LN,1144100
2555 PINE ST,459600
436 HIGHLAND AVE,1128900
1725 SUNSET BLVD,1192000
2227 16TH ST,692700
1615 7TH ST,1120000
3069 5TH ST,905100
505 UNIVERSITY AVE,519600
2820 7TH ST,398400
849 MELVINA HILL RD,361300
25825 SCIENCE PARK DR SUITE 110,888000
3660 16TH ST,481100
3292 4TH ST,681500
2252 GOSS CIRCLE,349200
4990 OSAGE UNIT C100,4500000
2450 BROADWAY,525600
10940 WILSHIRE BLVD STE 2250,2893500
10940 WILSHIRE BLVD STE 2250,2893500
2703 MIDLANE ST APT 4,439000
701 9TH ST,1604700
3051 7TH STREET,312300
1205 MEADOW AVE,2450000
2415 JUNIPER AVE,369100
1105 ZUNI ST,184500
CAMPUS B,375000
1104 MINTER AVE,404000
265 BELLEVUE DR,650000
3375 25TH ST,535400
3375 25TH ST,535400
1111 FOREST AVE,595400
PO BOX 791,993600
831 PEARL ST,783000
3030 24TH ST,565900
PO BOX 107,805800
815 PARK LN,926600
PO BOX 65,106600
1730 NORWOOD AVE,909700
2280 KOHLER DR,2009400
"954 PEARL ST., STE A",14008000
463 CAMINO MANZANO,1260000
310 NORTON ST,492100
2885 AURORA  21,762600
2885 AURORA  21,762600
9365 W IOWA PL,671500
2080 PEARL ST,282261
PO BOX 17395,574900
1556 SUNSET BLVD,874900
PO BOX 19,519700
PO BOX 2025,750700
497 PEARL ST UNIT 17,717900
497 PEARL ST UNIT 17,717900
1320 MEADOW AVE,568100
603 PEARL ST,636900
P O BOX 1519,671600
3030 6TH ST,1200500
1084 GRANT PL,465800
738 14TH ST,756500
3345 15TH ST,423800
3865 CLOVERLEAF DR,689700
1386 GLEN COURT,556800
2994 25TH ST,390300
50 S 31ST ST,421700
1031 PORTLAND PL UNIT 1,346600
AMY C FRENCH,473100
320 16TH ST,725000
3685 BUCKEYE CT,484200
730 LINCOLN PL,892900
PO BOX 9392,1676500
2958 6TH ST,1109400
2958 6TH ST,1109400
2491 LINDEN DR,555300
905 15TH ST,572400
PO BOX 1104,1289300
2333 21ST ST,837500
1777 BROADWAY,5895100
532 UNIVERSITY AV,801900
3076 7TH ST,1061400
620 18TH ST,492600
2118 GOSS CIR W,276800
2250 SPRUCE ST UNIT B,329000
2890 STANFORD AVE,501200
2890 STANFORD AVE,501200
2650 BRIARWOOD DR,372300
1530 8TH ST,959900
5612 PIONEER RD,432900
1402 KALMIA AVE,601500
680 PENNSYLVANIA AVE,581400
777 WILLOW BROOK RD,850000
3862 WONDERLAND HILL AVE,681100
2215 FLORAL DR,416600
1645 SUNSET BLVD,1245000
709 IRIS AVE,601800
1028 8TH ST,812300
610 MAXWELL AVE,559100
2814 3RD ST,542500
3569 IVEY CIR,466300
3569 IVEY CIR,466300
725 HIGHLAND AVE,2288900
2835 16TH ST,581500
484 ARAPAHOE AVE,723700
541 SPRUCE ST,390400
581 EAST STREET,1323100
5944 S FLORENCE CT,381500
NANCY J BACHUS LIVING TRUST,688940
505 AURORA AVE,1955800
650 PENNSYLVANIA AVE,570300
2037 16TH ST,477100
PO BOX 53,444500
3125 FREMONT ST,494600
2525 ARAPAHOE AVE UNIT E4 PMB 265,638000
3534 KIRKWOOD PL,624600
500 PLEASANT ST,936500
500 PLEASANT ST,936500
1720 LOMBARDY DR,429500
1904 COLUMBINE AVE,742400
1631 5TH ST,724300
PO BOX 1867,1000000
PO BOX 1867,1000000
521 ARAPAHOE,592300
1405 ALPINE AVE,1032000
924 WESTWOOD BLVD STE 600,2414400
2838 4TH ST,929700
1505 NORWOOD AVE,547000
600 PEARL ST SUITE A,564000
PO BOX 1181,940000
623 CONCORD AVE,902700
3600 CLOVER LEAF DR,501100
ANITA M KOURY,573900
3405 MARTIN DR,676700
400 CHRISTMAS TREE DR,1095000
889 FOREST AVE,556800
4701 WILLARD AVE #905,583500
402 PINE ST,1157000
402 PINE ST,1157000
3021 WASHINGTON ST,643300
MILAVITZ MARC,315400
736 MAXWELL AVE,691300
421 MOUNTAIN VIEW RD,950000
1030 6TH ST,950000
460 ARAPAHOE AVE,655200
2970 13TH ST,1001400
266 HILLSIDE LN,390600
3150 REPPLIER ST,412100
2119 PINE ST,518200
PO BOX 18261,430000
PO BOX 18261,430000
2329 13TH ST,900000
989 GRANT PL,1210300
2918 19TH ST,378700
2918 19TH ST,378700
1600 MARIPOSA AVE,553600
2230 NICHOLL ST W,437000
HIROMI ONISHI WIENER,623500
1700 BLUEBELL AVE,650000
742 16TH ST,770400
2422 W MAIN ST,645000
130 30TH ST,372600
3570 BROADWAY ST,267000
2740 14TH ST,585000
4500 19 ST #362,760000
2140 KOHLER DR,804700
320  S  39TH  ST,369500
1225 MARIPOSA AVE,1015000
1225 MARIPOSA AVE,1015000
419 16TH ST,756400
1025 6TH ST,1904600
1615 KALMIA AVE,456500
725 S 43RD ST,385800
PO BOX 431,500000
3350 25TH ST,503200
2539 SPRUCE,647900
1265 HOLLY PL,409100
3108 11TH ST,715500
2925 JEFFERSON ST,1225400
520 VALLEY VIEW DR,996300
1300 E 7TH AVE,710700
3830 ORION CT,605000
555 HAHAIONE ST APT 6G,842900
721 16TH ST,752900
900 WEST PEARL STREET UNIT 203,916600
840 MAXWELL AVE,666000
637 PINE ST,2000000
637 PINE ST,2000000
PO BOX 21136,573100
3275 15TH ST,547900
835 8TH ST,1060700
860 6TH ST,832900
3000 28TH ST,396000
419 CANYON BLVD,638000
505 MARINE ST,1301900
512 MARINE ST,1880400
777 PEARL ST 210,424500
107 ALESSANDRA CT 208,320000
PO BOX  2046,443500
PO BOX 8469,1010500
809 PINE ST,1434100
3135 5TH ST,1562400
3135 5TH ST,1562400
924 WESTWOOD BLVD #600,1036200
2910 19TH ST,384800
2291 ARAPAHOE AVE,1025000
595 CASCADE AVE,1336600
6319 CATTAIL CT,434600
